species,english_name,order,family
Sonchus asper,Prickly Sow-thistle,Asterales,Asteraceae
Peucedanum ostruthium,Masterwort,Apiales,Apiaceae
Epilobium palustre,Marsh Willowherb,Myrtales,Onagraceae
Turgenia latifolia,Greater Bur-parsley,Apiales,Apiaceae
Aegopodium podagraria,Ground-elder,Apiales,Apiaceae
Heracleum sphondylium,Hogweed,Apiales,Apiaceae
Cirsium palustre,Marsh Thistle,Asterales,Asteraceae
Trifolium pratense,Red Clover,Fabales,Fabaceae
Scorzoneroides autumnalis,Autumn Hawkbit,Asterales,Asteraceae
Digitalis purpurea,Foxglove,Lamiales,Plantaginaceae
Galium palustre,Marsh-bedstraw,Gentianales,Rubiaceae
Veronica chamaedrys,Germander Speedwell,Lamiales,Plantaginaceae
Cardamine pratensis,Cuckooflower,Brassicales,Brassicaceae
Dactylorhiza fuchsii,Common Spotted-orchid,Asparagales,Orchidaceae
Doronicum plantagineum,Plantain-leaved Leopard's-bane,Asterales,Asteraceae
Cerastium fontanum,Common Mouse-ear,Caryophyllales,Caryophyllaceae
Ranunculus flammula,Lesser Spearwort,Ranunculales,Ranunculaceae
Rumex obtusifolius,Broad-leaved Dock,Caryophyllales,Polygonaceae
Cardamine hirsuta,Hairy Bitter-cress,Brassicales,Brassicaceae
Impatiens glandulifera,Indian Balsam,Ericales,Balsaminaceae
Lotus corniculatus,Common Bird's-foot-trefoil,Fabales,Fabaceae
Centaurea nigra,Common Knapweed,Asterales,Asteraceae
Viola riviniana,Common Dog-violet,Malpighiales,Violaceae
Anemone nemorosa,Wood Anemone,Ranunculales,Ranunculaceae
Alliaria petiolata,Garlic Mustard,Brassicales,Brassicaceae
Calluna vulgaris,Heather,Ericales,Ericaceae
Campanula rotundifolia,Harebell,Asterales,Campanulaceae
Crataegus monogyna,Hawthorn,Rosales,Rosaceae
Ranunculus acris,Meadow Buttercup,Ranunculales,Ranunculaceae
Vaccinium vitis,Cowberry,Ericales,Ericaceae
Vaccinium myrtillus,Bilberry,Ericales,Ericaceae
Sisymbrium officinale,Hedge Mustard,Brassicales,Brassicaceae
