"sample_id","occurrence_id","taxon_group","taxon_source","english_name","source_taxon_version_key","order","family","floral_unit","total_floral_units","year"
6526510,"11405053","flowering plant","Stellaria alsine","Bog Stitchwort","NHMSYS0000464004","Caryophyllales","Caryophyllaceae","individual flower",4,2019
6530422,"11412533","flowering plant","Ranunculus","Buttercup","NHMSYS0000462231","Ranunculales","Ranunculaceae","individual flower",20,2019
6530422,"11412535","flowering plant","Lotus pedunculatus","Greater Bird's-foot-trefoil","NBNSYS0000003260","Fabales","Fabaceae","individual flower",17,2019
6530422,"11412536","flowering plant","Galium palustre","Marsh-bedstraw","NBNSYS0000004313","Gentianales","Rubiaceae","individual flower",170,2019
6530422,"11412538","flowering plant","Filipendula ulmaria","Meadowsweet","NBNSYS0000003316","Rosales","Rosaceae","flower umbel",43,2019
6532276,"11416007","flowering plant","Urtica dioica","Common Nettle","NBNSYS0000003807","Rosales","Urticaceae","flower spike",3,2019
6532276,"11416008","flowering plant","Trifolium repens","White Clover","NBNSYS0000003247","Fabales","Fabaceae","flower head",4,2019
6537112,"11424295","flowering plant","Cirsium arvense","Creeping Thistle","NBNSYS0000004492","Asterales","Asteraceae","flower head",2,2019
6537131,"11424311","flowering plant","Achillea millefolium","Yarrow","NBNSYS0000004451","Asterales","Asteraceae","flower umbel",15,2019
6537719,"11425254","flowering plant","Calluna vulgaris","Heather","NBNSYS0000003902","Ericales","Ericaceae","flower spike",42,2019
6537719,"11425255","flowering plant","Erica cinerea","Bell Heather","NBNSYS0000003909","Ericales","Ericaceae","flower spike",8,2019
6537742,"11425316","flowering plant","Cirsium palustre","Marsh Thistle","NBNSYS0000004491","Asterales","Asteraceae","individual flower",35,2019
6537742,"11425317","flowering plant","Ranunculus repens","Creeping Buttercup","NBNSYS0000002709","Ranunculales","Ranunculaceae","individual flower",6,2019
6537752,"11425360","flowering plant","Ranunculus repens","Creeping Buttercup","NBNSYS0000002709","Ranunculales","Ranunculaceae","individual flower",3,2019
6537808,"11425433","flowering plant","Digitalis purpurea","Foxglove","NBNSYS0000004094","Lamiales","Plantaginaceae","individual flower",12,2019
6537833,"11425481","flowering plant","Cirsium palustre","Marsh Thistle","NBNSYS0000004491","Asterales","Asteraceae","individual flower",12,2019
6537843,"11425570","flowering plant","Cirsium palustre","Marsh Thistle","NBNSYS0000004491","Asterales","Asteraceae","individual flower",20,2019
6537843,"11425571","flowering plant","Taraxacum officinale agg.","Dandelion","NHMSYS0000464272","Asterales","Asteraceae","individual flower",24,2019
6537843,"11425572","flowering plant","Lotus corniculatus","Common Bird's-foot-trefoil","NBNSYS0000003258","Fabales","Fabaceae","individual flower",17,2019
6537848,"11425592","flowering plant","Crepis capillaris","Smooth Hawk's-beard","NBNSYS0000004576","Asterales","Asteraceae","individual flower",8,2019
6538379,"11426502","flowering plant","Sonchus arvensis","Perennial Sow-thistle","NBNSYS0000004542","Asterales","Asteraceae","individual flower",3,2019
6538389,"11426513","flowering plant","Torilis japonica","Upright Hedge-parsley","NBNSYS0000003646","Apiales","Apiaceae","flower umbel",13,2019
6538389,"11426514","flowering plant","Centaurea scabiosa","Greater Knapweed","NBNSYS0000004501","Asterales","Asteraceae","individual flower",64,2019
6538389,"11426515","flowering plant","Origanum vulgare","Wild Marjoram","NBNSYS0000004207","Lamiales","Lamiaceae","flower spike",89,2019
6538389,"11426516","flowering plant","Urtica dioica","Common Nettle","NBNSYS0000003807","Rosales","Urticaceae","flower spike",1,2019
