sciname,FE
Hymenopenaeus mulleri,5.5
Hymenopenaeus mulleri,0.6
Ibacus ciliatus,1.3
Idiopoma dissimilis,4.03
Illex coindeti,12.3876
Jasus edwardsii,0.3
Jasus edwardsii,0.4
"Jasus spp., panulirus spp.",1.41
"Jasus spp., panulirus spp.",1.22
Katharina tunicata,16
Kelletia lischkei,2.5
Kelletia lischkei,1
Koreoleptoxis globus ovalis,6.4
Koreoleptoxis nodifila,11.2
Lamella lamellifrons,42.322
Lamella lamellifrons,44.873
Lamella lamellifrons,48.703
Lanistes libycus,1.76
Lanistes libycus,1.98
Limaria tuberculata,4.58
Linuparus trigonus,1
Lissachatina fulica,1.57
Lissachatina fulica,2.19
Lissachatina fulica,0.232
Lissachatina fulica,1.83
Litopenaeus vannamei,1.2
Litopenaeus vannamei,1
Litopenaeus vannamei,0.9
Litopenaeus vannamei,454
Littorina littorea,1.5
Littorina littorea,3.5
Littorina littorea,1.51
Littorina littorea,0.528
Loligo beka,1
Loligo beka,0.5
Loligo beka,4.4
Loligo beka,5.6
Loligo bleekeri,0.1
Loligo duvauceli,0.26
Loligo duvaucelli,2.65
Loligo edulis,0.1
Loligo edulis,0.9
Loligo formosana,2.1
Loligo vulgaris,1.6
Loligo vulgaris,0.3
Loligo vulgaris,0.5
Loligo vulgaris,0.6
Loligo vulgaris,0.4
Loligo vulgaris,10.7
Loligo vulgaris,10.7289
Loligo vulgaris,1
Loligo vulgaris,0.1
Loligo vulgaris,2.8
"Loligoidae, ommastrephidae",0.68
"Loligoidae, ommastrephidae",1.01
Macrobrachium amazonicum,0.0065
Macrobrachium amazonicum,3.13
Macrobrachium amazonicum,6.68
Macrobrachium amazonicum,4.17
Macrobrachium amazonicum,0.0243
Macrobrachium amazonicum,2.27
Macrobrachium amazonicum,2.09
Macrobrachium birmanicum,0.6
Macrobrachium macrobrachion,11.478
Macrobrachium malcolmsonii,8.24
Macrobrachium malcolmsonii,0.5
Macrobrachium malcolmsonii,13
Macrobrachium malcolmsonii,1.2
Macrobrachium malcolmsonii,1.5
Macrobrachium malcolmsonii,1.3
Macrobrachium nipponense,1.8
Macrobrachium rosenbergii,0.5
Macrobrachium rosenbergii,0.7
Macrobrachium rosenbergii,0.6
Macrobrachium rosenbergii,0.78
Macrobrachium rude,0.5
Macrophthalmus depressus,2.3
Mactra chinensis,11
Mactra chinensis,12
Mactra chinensis,0.03996
Mactra chinensis,0.03572
Mactra chinensis,1.1
Mactra chinensis,0.05045
Mactra veneriformis,22.7
Maja brachydactyla,14.2
Maja brachydactyla,2.97
Maja brachydactyla,1.07
Maja brachydactyla,17.1
Marsupenaeus japonicus,1
Marsupenaeus japonicus,1.4
Marsupenaeus japonicus,1.1
Marsupenaeus japonicus,0.7
Megangulus venulosus,5.8
Meganyctiphanes norvegica,2.15
Melicertus latisulcatus,0.03
Melicertus latisulcatus,0.16
"Melongenidae, buccinidae",6.2
Menippe mercenaria,1.1
Mercenaria mercenaria,2.8
Mercenaria mercenaria,2.46
Mercenaria mercenaria,6.77
Meretrix lamarckii,5.1
Meretrix lusoria,3.3
Meretrix lusoria,3.9
Meretrix lusoria,5.8
Meretrix lusoria,2.1
Meretrix lusoria,8.257
Meretrix lusoria,27.613
Meretrix lusoria,7.2
Meretrix lusoria,3.775
Meretrix lusoria,11.9
Meretrix meretrix,7.852
Meretrix meretrix,0.94
Meretrix petechialis,2.4
Mesodesma donacium,12.5
Mesodesma donacium,2
Metanephrops thomsoni,7.4
Metapenaeus affinis,0.93
Metapenaeus affinis,0.137
Metapenaeus affinis,0.087
Metapenaeus endeavouri,0.2
Metapenaeus joyneri,1
Metapenaeus macleayi,2.77
Metapenaeus macleayi,2.7
Metapenaeus macleayi,2.8
Metapenaeus macleayi,3.3
Metapenaeus monoceros,0.6
Metapenaeus monoceros,2.7
Metapenaeus monoceros,1.7
Metapenaeus monoceros,1.8
Metapenaeus monoceros,2.1
Metapenaeus monoceros,1.63
Metapenaeus monoceros,1.81
Metapenaeus monoceros,1.41
Metapenaeus monoceros,1.55
Metapenaeus monoceros,1.66
Mimachlamys varia,5.18
Mizuhopecten yessoensis,2.8
Mizuhopecten yessoensis,0.7
Mizuhopecten yessoensis,0.3
Mizuhopecten yessoensis,0.2
Mizuhopecten yessoensis,2.2
Mizuhopecten yessoensis,1.2
Modiolus barbatus,6.52
Murex trapa,3.06
Mya arenaria,40.5
Mya arenaria,6.41
Mya arenaria,4.1
Mya arenaria,3.4
Mytilus chilensis,6.31
Mytilus coruscus,9.8
Mytilus coruscus,6.65
Mytilus coruscus,11.63
Mytilus coruscus,2.3
Mytilus coruscus,5.86
Mytilus coruscus,15
Mytilus coruscus,35
Mytilus coruscus,2.9
Mytilus coruscus,3.6
Mytilus coruscus,13.1
Mytilus coruscus,9.4
Mytilus coruscus,10
Mytilus coruscus,6
Mytilus coruscus,17.3
Mytilus coruscus,3.8
Mytilus coruscus,6.1
"Mytilus coruscus, mytilus galloprovincialis",3.5
Mytilus edulis,35
Mytilus edulis,15
Mytilus edulis,6.6
Mytilus edulis,6.7
Mytilus edulis,5.7
Mytilus edulis,5.1
Mytilus edulis,6.72
Mytilus edulis,7.7
Mytilus edulis,4.4
Mytilus edulis,8.44
Mytilus edulis,7.3
Mytilus edulis,7
Mytilus edulis,7.4
Mytilus edulis,3.95
Mytilus edulis,7.1
Mytilus edulis,4.2
Mytilus edulis,6.8
Mytilus edulis,28.6
Mytilus edulis,10.8
Mytilus edulis,24.8
Mytilus galloprovincialis,35.1
Mytilus galloprovincialis,33.8
Mytilus galloprovincialis,8.6
Mytilus galloprovincialis,13.8
Mytilus galloprovincialis,60.3
Mytilus galloprovincialis,12.8
Mytilus galloprovincialis,15.6
Mytilus galloprovincialis,38.3
Mytilus galloprovincialis,14.7
Mytilus galloprovincialis,44.7
Mytilus galloprovincialis,6.7
Mytilus galloprovincialis,6.3
Mytilus galloprovincialis,2.97
Mytilus galloprovincialis,2.5
Mytilus galloprovincialis,4
Mytilus galloprovincialis,23.3
Mytilus galloprovincialis,1
Mytilus galloprovincialis,43.6
Mytilus galloprovincialis,2.1
Mytilus galloprovincialis,3.2
Mytilus galloprovincialis,4.2
Mytilus galloprovincialis,2.9
Mytilus galloprovincialis,5.4
Mytilus galloprovincialis,10.7
Mytilus galloprovincialis,4.3
Mytilus galloprovinvialis,10.9
Mytilus platensis,5.8
Mytilus platensis spp.,5.8
"Neomysis japonica, acetes japonicus",7.1
"Neomysis japonica, acetes japonicus",0.5
Nephrops norvegicus,2.2
Nephrops norvegicus,2
Nephrops norvegicus,5.2075
Nephrops norvegicus,4.8
Nephrops norvegicus,1.99
Nephrops norvegicus,2.66
Nephrops norvegicus,2.5
Neptunea arthritica,2.3
Neptunea cumingi,1.6
Neptunea intersculpta,1.8
"Neptunea polycostata, neptunea arthritica, buccinum middendorffi",1.3
Neverita didyma,2.6
Nodipecten nodosus,4.4
Nodipecten nodosus,4
Notarchus punctatus armatus,2.2
Nototodarus sloanii,6.442
Nototodarus sloanii,2.553
Nototodarus sloanii,1.498
Nototodarus sloanii,2.089
Nototodarus sloanii,4.254
Nototodarus sloanii,7.411
Nototodarus sloanii,16.91
Nototodarus sloanii,2.095
Nototodarus sloanii,32.782
Ochetostoma erythrogrammon,5.5
Octopus bimaculatus,2.5
Octopus cyanea,14.2
Octopus dofleini,0.7
Octopus membranaceus,1.4
Octopus minor,0.5
Octopus vulgaris,3.8
Octopus vulgaris,0.2
Octopus vulgaris,3.3
Octopus vulgaris,0.5
Octopus vulgaris,7.4364
Octopus vulgaris,5.01
Octopus vulgaris,0.6
Octopus vulgaris,2.4
Octopus vulgaris,1.08
Octopus vulgaris,4.7
Octopus vulgaris,2.75
Octopus vulgaris,5.2
Octopus vulgaris,3.7
Octopus vulgaris,5.89
Octopus vulgaris,9.54
Octopus vulgaris,7.3
Octopus vulgaris,5.3
Octopus vulgaris,5.8
Ommastrephes bartramii,0.1
Ommastrephes sagittatus,3.63
Oratosquilla oratoria,0.8
