species,english_name,order,family,genus,mean_dry_mass,mean_intertegular_distance
Andrena tarsata,Tormentil Mining Bee,Hymenoptera,Andrenidae,Andrena,NA,NA
Hylaeus brevicornis,Short-horned Yellow-face Bee,Hymenoptera,Colletidae,Hylaeus,NA,NA
Nomada obtusifrons,Flat-ridged Nomad Bee,Hymenoptera,Apidae,Nomada,NA,NA
Platycheirus ramsarensis,NA,Diptera,Syrphidae,Platycheirus,NA,NA
Megachile centuncularis,Patchwork Leafcutter Bee,Hymenoptera,Megachilidae,Megachile,19.418181818181818,2.7409090909090907
Bombus ruderarius,Red-shanked Carder Bee,Hymenoptera,Apidae,Bombus,98.396,5.069846200000001
Andrena alfkenella,Alfken's Mini-miner,Hymenoptera,Andrenidae,Andrena,2.054,1.332
Andrena nigriceps,Black-headed Mining Bee,Hymenoptera,Andrenidae,Andrena,NA,NA
Bombus ruderatus,Large Garden (Ruderal) Bumblebee,Hymenoptera,Apidae,Bombus,NA,NA
Scaeva selenitica,NA,Diptera,Syrphidae,Scaeva,9.19,3.049
Leucozona laternaria,NA,Diptera,Syrphidae,Leucozona,NA,NA
Sphecodes ferruginatus,Dull-headed Blood Bee,Hymenoptera,Halictidae,Sphecodes,NA,NA
Platycheirus nielseni,NA,Diptera,Syrphidae,Platycheirus,NA,NA
Coelioxys elongata,Dull-vented Sharp-tail Bee,Hymenoptera,Megachilidae,Coelioxys,NA,NA
Andrena trimmerana,Trimmer's Mining Bee,Hymenoptera,Andrenidae,Andrena,NA,NA
Osmia caerulescens,Blue Mason Bee,Hymenoptera,Megachilidae,Osmia,10.778538461538462,2.1336923076923076
Melangyna cincta,NA,Diptera,Syrphidae,Melangyna,NA,NA
Macropis europaea,Yellow Loosestrife Bee,Hymenoptera,Melittidae,Macropis,4.211,2.376
Andrena humilis,Buff-tailed Mining Bee,Hymenoptera,Andrenidae,Andrena,NA,NA
Eucera longicornis,Long-horned Bee,Hymenoptera,Apidae,Eucera,17.901,3.073
Halictus confusus,Southern Bronze Furrow Bee,Hymenoptera,Halictidae,Halictus,3.48125,1.346403125
Halictus eurygnathus,Downland Furrow Bee,Hymenoptera,Halictidae,Halictus,NA,NA
Cheilosia soror,NA,Diptera,Syrphidae,Cheilosia,NA,NA
Chrysotoxum verralli,NA,Diptera,Syrphidae,Chrysotoxum,15.971,3.0995
Melanogaster aerosa,NA,Diptera,Syrphidae,Melanogaster,NA,NA
