Genus,Species,Clade,Higher Group,Order,Family,Extinct,Shape,Habitat,Total Length (cm),Fork Length (cm),Precaudal Length (cm),Head Length (cm),Snout Length (cm),OOL (cm),Head Height (cm),Mouth Width (cm),Dorsoventral Body Height (cm),Mediolateral Body Width (cm),Girth (cm),Prepectoral Length (cm),Prepelvic Length (cm),Bill Length (cm),Body Mass (g),Presence of Swimbladder,Presence of Heterocercal Caudal Fin,Specimen,Ontogenetic Status,Gender,Length As,N,drop,Reference,Weight Reference,Method of Measurement,Is Body Mass Estimated,Notes
Amia,calva,Actinopterygii,Basal Actinopterygii,Amiiformes,Amiidae,0,fusiform,demersal,46.1,46.1,38.7,9.049,2.355,6.694,5.38,4.972,7.44,5.139,21.5,,,,858.256338906424,1,FALSE,CMNH 2109,,,total length,1,,Present Study,Koch et al. 2009,measured from specimen,TRUE,
Amia,calva,Actinopterygii,Basal Actinopterygii,Amiiformes,Amiidae,0,fusiform,demersal,44,44,37.8,8.695,2.2,6.495,5.286,4.857,6.904,5.849,21.1,,,,748.354571844458,1,FALSE,CMNH 3278,,,total length,1,,Present Study,Koch et al. 2009,measured from specimen,TRUE,
Amia,calva,Actinopterygii,Basal Actinopterygii,Amiiformes,Amiidae,0,fusiform,demersal,53,,46,11.228,2.559,8.669,7.278,5.2,8.471,5.863,25.5,10.129,20.967,,1293.14367742918,1,FALSE,OSUM 14022a,,,total length,1,,Present Study,Koch et al. 2009,measured from specimen,TRUE,
Amia,calva,Actinopterygii,Basal Actinopterygii,Amiiformes,Amiidae,0,fusiform,demersal,43.1,,36.4,9.73,2.093,7.637,6.683,5.009,8.495,5.285,24.5,10.153,19.524,,704.25298592251,1,FALSE,OSUM 14023,,,total length,1,,Present Study,Koch et al. 2009,measured from specimen,TRUE,
Amia,calva,Actinopterygii,Basal Actinopterygii,Amiiformes,Amiidae,0,fusiform,demersal,50,,41.6,11.086,2.792,8.294,7.42,5.259,7.627,5.985,23.1,11.14,19.89,,1089.61442167245,1,FALSE,OSUM 14022b,,,total length,1,,Present Study,Koch et al. 2009,measured from specimen,TRUE,Head depth is approximate
Amia,calva,Actinopterygii,Basal Actinopterygii,Amiiformes,Amiidae,0,fusiform,demersal,52,,34.5,12.166,3.005,9.161,8.31,5.537,8.362,5.617,25.1,12.23,27.12,,1222.73917576969,1,FALSE,OSUM 14022c,,,total length,1,,Present Study,Koch et al. 2009,measured from specimen,TRUE,
Amia,calva,Actinopterygii,Basal Actinopterygii,Amiiformes,Amiidae,0,fusiform,demersal,54.2,,45,11.421,2.508,8.913,,4.781,9.575,7.067,28.3,,,,1381.09611350912,1,FALSE,OSUM 103663,,,total length,1,,Present Study,Koch et al. 2009,measured from specimen,TRUE,
Amia,calva,Actinopterygii,Basal Actinopterygii,Amiiformes,Amiidae,0,fusiform,demersal,41,,34.4,9.568,2.332,7.236,5.571,4.489,7.704,4.998,22.2,9.334,20.65,,608.095451442113,1,FALSE,OSUM unnumbered,,,total length,1,,Present Study,Koch et al. 2009,measured from specimen,TRUE,
Atractosteus,spatula,Actinopterygii,Basal Actinopterygii,Lepisosteiformes,Lepisosteidae,0,elongate,demersal,105.45,,96.28,29.82,14.4,15.42,8.82,,13.91,,,27.84,54.4,,,1,FALSE,,,,total length,1,,McDonald et al. 2013,,measured from figure/photo,,Single figured specimen.
Atractosteus,spatula,Actinopterygii,Basal Actinopterygii,Lepisosteiformes,Lepisosteidae,0,elongate,demersal,99.7245424759573,,87.9,26.01,14.81,11.2,,7.08,,,,,,,,1,FALSE,,,,total length,30,,"McDonald et al. 2013, Snow et al. 2020",,reported measurements,,"Total length estimated from standard length using equations in Snow et al. 2020. Head length in McDonald et al. 2013 measured to base of occiput, excluding opercular series, therefore operculum length was manually added back in"
Atractosteus,spatula,Actinopterygii,Basal Actinopterygii,Lepisosteiformes,Lepisosteidae,0,elongate,demersal,103.98783295582,,91.7,26.05,14.42,11.63,,7.36,,,,,,,,1,FALSE,,,,total length,83,,"McDonald et al. 2013, Snow et al. 2020",,reported measurements,,"Total length estimated from standard length using equations in Snow et al. 2020. Head length in McDonald et al. 2013 measured to base of occiput, excluding opercular series, therefore operculum length was manually added back in"
Lepisosteus,oculatus,Actinopterygii,Basal Actinopterygii,Lepisosteiformes,Lepisosteidae,0,elongate,demersal,66,66,58,15.9,9.569,6.331,4.107,3.084,7.601,5.623,21,,,,819.609594489162,1,FALSE,CMNH 1b,,,total length,1,,Present Study,Bister et al. 2000,measured from specimen,TRUE,
Lepisosteus,osseus,Actinopterygii,Basal Actinopterygii,Lepisosteiformes,Lepisosteidae,0,elongate,demersal,78.4,78.4,70.5,20.4,14.439,5.961,3.359,2.476,5.444,4.737,16.4,,,,1484.21255233333,1,FALSE,CMNH 2299a,,,total length,1,,Present Study,Bister et al. 2000,measured from specimen,TRUE,
Lepisosteus,osseus,Actinopterygii,Basal Actinopterygii,Lepisosteiformes,Lepisosteidae,0,elongate,demersal,64.4,64.4,57.1,17.5,12.631,4.869,2.591,1.989,4.202,3.76,13,,,,753.090824921232,1,FALSE,CMNH 2299b,,,total length,1,,Present Study,Bister et al. 2000,measured from specimen,TRUE,
Lepisosteus,osseus,Actinopterygii,Basal Actinopterygii,Lepisosteiformes,Lepisosteidae,0,elongate,demersal,53.9,53.9,47.1,17.2,12.432,4.768,2.385,1.896,4.678,3.613,13.2,,,,407.614524813375,1,FALSE,CMNH 2299c,,,total length,1,,Present Study,Bister et al. 2000,measured from specimen,TRUE,
Lepisosteus,osseus,Actinopterygii,Basal Actinopterygii,Lepisosteiformes,Lepisosteidae,0,elongate,demersal,72.8,72.8,65,18.8,13.147,5.653,3.26,2.005,5.605,3.4,15.4,,,,1149.4527595608,1,FALSE,CMNH 1a,,,total length,1,,Present Study,Bister et al. 2000,measured from specimen,TRUE,
Polypterus,mokelembembe,Actinopterygii,Basal Actinopterygii,Polypteriformes,Polypteridae,0,elongate,benthic,18.31,,16.61,2.80709,0.69054414,2.11654586,1.57,,1.9932,1.83,,2.6576,12.5048290341932,,35.9454760228026,1,FALSE,,,,total length,1,,Schliewen and Schäfer 2006,Ibala Zamba et al. 2020,measured from figure/photo,TRUE,
Polypterus,mokelembembe,Actinopterygii,Basal Actinopterygii,Polypteriformes,Polypteridae,0,elongate,benthic,21.54,,19.61,3.44,0.67,2.77,1.49,,2.2,,,3,14.42,,,1,FALSE,ZSM 33571-3,,,total length,1,,Schliewen and Schäfer 2006,,measured from figure/photo,,
Polypterus,palmas,Actinopterygii,Basal Actinopterygii,Polypteriformes,Polypteridae,0,elongate,benthic,29.73,,26.29,4.27,0.919999999999999,3.35,2.39,,3.29,,,3.99,15.71,,,1,FALSE,RMCA (MRAC) 92-52-P-10-20,,,total length,1,,Hanssens et al. 1995,,measured from figure/photo,,
Polypterus,palmas,Actinopterygii,Basal Actinopterygii,Polypteriformes,Polypteridae,0,elongate,benthic,26.103,,23.1,4.2042,1.0132122,3.1909878,,,2.7951,,,3.5805,,,,1,FALSE,,,,total length,37,,Hanssens et al. 1995,,reported measurements,,"Total length estimated using the proportions of MRAC 73-10-P-14-15, as total length was apparently measured by Hanssens et al. 1995 but not reported. Includes data from MRAC 73-10-P-14-15"
Polypterus,palmas,Actinopterygii,Basal Actinopterygii,Polypteriformes,Polypteridae,0,elongate,benthic,26.2,,23.42,4.19,0.98,3.21,2.08,,2.84,,,4.01,17.76,,,1,FALSE,RMCA (MRAC) 73-10-P-14-15,,,total length,1,,Hanssens et al. 1995,,measured from figure/photo,,
Polypterus,palmas,Actinopterygii,Basal Actinopterygii,Polypteriformes,Polypteridae,0,elongate,benthic,25.9,,25.9,4.7656,1.1342128,3.6313872,,,3.2893,,,3.9368,,,,1,FALSE,,,,total length,22,,Hanssens et al. 1995,,reported measurements,,"Total length estimated using the proportions of MRAC 92-52-P-10-20, as total length was apparently measured by Hanssens et al. 1995 but not reported. Includes data from MRAC 92-52-P-10-20"
Polypterus,polli,Actinopterygii,Basal Actinopterygii,Polypteriformes,Polypteridae,0,elongate,benthic,28.7,,26.53,4.93,1.08,3.85,2.47,,3.22,,,4.53,17.44,,,1,FALSE,RMCA (MRAC) 47667,,,total length,1,,Hanssens et al. 1995,,measured from figure/photo,,Using length-weight equation for Polypterus palmas
Polypterus,polli,Actinopterygii,Basal Actinopterygii,Polypteriformes,Polypteridae,0,elongate,benthic,24.39817,,22.57,4.37858,1.04648062,3.33209938,,,2.91153,,,3.67891,,,,1,FALSE,,,,total length,30,,Hanssens et al. 1995,,reported measurements,,"Using length-weight equation for Polypterus palmas. Total length estimated using the proportions of MRAC 47667, as total length was apparently measured by Hanssens et al. 1995 but not reported. Includes data from MRAC 47667"
Polypterus,retropinnis,Actinopterygii,Basal Actinopterygii,Polypteriformes,Polypteridae,0,elongate,benthic,27.36408,,20.18,3.57186,0.89653686,2.67532314,1.95,,2.60322,2.73,,3.75348,12.68,,64.4863699921415,1,FALSE,,,,total length,1,,Schliewen and Schäfer 2006,Ibala Zamba et al. 2020,measured from figure/photo,TRUE,"Regression equation for P. mokelembembe used, as no equations for P. retropinnis available. Total length estimated from ZSM 29729 because tail fin is damaged"
Polypterus,retropinnis,Actinopterygii,Basal Actinopterygii,Polypteriformes,Polypteridae,0,elongate,benthic,26.18,,23.78,4.23,0.78,3.45,2.28,,2.78,,,3.94,17.44,,,1,FALSE,ZSM 29729,,,total length,1,,Schliewen and Schäfer 2006,,measured from figure/photo,,"Regression equation for P. mokelembembe used, as no equations for P. retropinnis available"
Albula,argentea,Actinopterygii,Basal Teleostei,Albuliformes,Albulidae,0,fusiform,neritic,42.7,37.374,33.694,8.477,2.919,5.558,5.582,,8.046,,,7.72,20.2,,,1,FALSE,,,,total length,1,,Osmany pers. comm. (FishBase),,measured from figure/photo,,
Albula,glossodonta,Actinopterygii,Basal Teleostei,Albuliformes,Albulidae,0,fusiform,neritic,62.7,57.88,53,15.35,6.52,8.83,9.14,,11.31,,,15.12,33.02,,2220,1,FALSE,,,,total length,1,,Randall 1997,Randall 1997,measured from figure/photo,FALSE,
Albula,glossodonta,Actinopterygii,Basal Teleostei,Albuliformes,Albulidae,0,fusiform,neritic,42,35.33,32.8,8.49,3.21,5.28,5.41,,7.55,,,8.44,19.34,,,1,FALSE,,,,total length,1,,Randall 1997,,measured from figure/photo,,body mass estimated using length-weight equations for A. vulpes
Albula,glossodonta,Actinopterygii,Basal Teleostei,Albuliformes,Albulidae,0,fusiform,neritic,44,38.16,35.3,9.24,3.44,5.8,5.89,,8.09,,,9.35,21.4,,,1,FALSE,,,,total length,1,,Randall 1997,,measured from figure/photo,,body mass estimated using length-weight equations for A. vulpes
Albula,vulpes,Actinopterygii,Basal Teleostei,Albuliformes,Albulidae,0,fusiform,neritic,59.75,54.5,47.5,13.764,6.168,7.596,8.08,3.195,9.71,8.08,30.5,11.09,20.15,,2492.431211494,1,FALSE,FSBC 18801,,,total length,1,,Present Study,Crabtree et al. 1996,measured from specimen,TRUE,
Albula,vulpes,Actinopterygii,Basal Teleostei,Albuliformes,Albulidae,0,fusiform,neritic,58,50.7,45,14.3,6.305,7.995,8.18,5.021,10.78,7.83,32,9.9,26.6,,1979.6476317955,1,FALSE,FSBC 19093a,,,total length,1,,Present Study,Crabtree et al. 1996,measured from specimen,TRUE,length with peduncle 48 cm
Albula,vulpes,Actinopterygii,Basal Teleostei,Albuliformes,Albulidae,0,fusiform,neritic,58,51,45,13.7,6.207,7.493,7.7,9.673,11.14,8.41,31.4,10.69,28.51,,2017.22192371095,1,FALSE,FSBC 19093b,,,total length,1,,Present Study,Crabtree et al. 1996,measured from specimen,TRUE,length with peduncle 48 cm
Albula,vulpes,Actinopterygii,Basal Teleostei,Albuliformes,Albulidae,0,fusiform,neritic,62.5,56.3,49,15,6.123,8.877,9.15,3.765,12.485,9.217,35.2,12.871,31.52,,2764.38025763894,1,FALSE,FSBC 19093c,,,total length,1,,Present Study,Crabtree et al. 1996,measured from specimen,TRUE,length with peduncle 52 cm
Albula,vulpes,Actinopterygii,Basal Teleostei,Albuliformes,Albulidae,0,fusiform,neritic,71,64.3,57,17.3,8.338,8.962,9.622,4.274,12.838,10.359,37.2,11.52,33.45,,4221.78292470998,1,FALSE,FSBC 19093d,,,total length,1,,Present Study,Crabtree et al. 1996,measured from specimen,TRUE,length with peduncle 61 cm
Anguilla,rostrata,Actinopterygii,Basal Teleostei,Anguilliformes,Anguillidae,0,anguilliform,benthic,69,,,8.67,1.406,7.264,3.143,1.692,4.438,2.971,11.3,8.915,,,635.326036198737,1,FALSE,OSUM unnumbered,,,total length,1,,Present Study,Jessop 2018,measured from specimen,TRUE,
Conger,japonicus,Actinopterygii,Basal Teleostei,Anguilliformes,Congridae,0,anguilliform,benthic,150.5,,148.3,21.8,4.77,17.03,11.2278890959925,,15.46,16.1,42,24.1865263157895,,,12600,1,FALSE,,,,total length,1,,Yagi et al. 2013,Yagi et al. 2013,reported measurements,FALSE,
Conger,macrocephalus,Actinopterygii,Basal Teleostei,Anguilliformes,Congridae,0,anguilliform,benthic,88,,,17.5,4.6,12.9,,,7,,,,,,,1,FALSE,,,,total length,1,,Ali et al. 2021,,reported measurements,,
Conger,macrocephalus,Actinopterygii,Basal Teleostei,Anguilliformes,Congridae,0,anguilliform,benthic,92,,,16,4.9,11.1,,,8.5,,,,,,,1,FALSE,,,,total length,1,,Ali et al. 2021,,reported measurements,,
Conger,oceanicus,Actinopterygii,Basal Teleostei,Anguilliformes,Congridae,0,anguilliform,benthic,194.5,,,28,6.8,21.2,11.34,7.897,12.93,11.092,,28.06,,,21071.8916943991,1,FALSE,FSBC 18272,,,total length,1,,Present Study,Hood et al. 1988,measured from specimen,,
Conger,sp.,Actinopterygii,Basal Teleostei,Anguilliformes,Congridae,0,anguilliform,benthic,82.5,,,15.7,4.283,11.417,5.55,4.66,5.4,5.6,20,10.91,,,1083.85791096078,1,FALSE,FSBC 7595,,,total length,1,,Present Study,Hood et al. 1988,measured from specimen,TRUE,length-weight relationship for Conger oceanicus used
Enchelycore,anatina,Actinopterygii,Basal Teleostei,Anguilliformes,Muraenidae,0,anguilliform,benthic,51,,51,6.0996,1.00043997,5.09916003,,,4.998,,,,,,170,1,FALSE,,,,total length,1,,Ragheb and Rizkalla et al. 2020,Ragheb and Rizkalla et al. 2020,reported measurements,FALSE,
Gymnothorax,australicola,Actinopterygii,Basal Teleostei,Anguilliformes,Muraenidae,0,anguilliform,benthic,12.5,,,1.475,0.26845,1.20655,,,0.775,0.3625,,,,,2.09924814117068,1,FALSE,,,,total length,1,,Lavenberg 1992,Kulbicki et al. 2005,reported measurements,,Using length-weight equation for Gymnothorax spp.
Gymnothorax,australicola,Actinopterygii,Basal Teleostei,Anguilliformes,Muraenidae,0,anguilliform,benthic,12.8,,,1.3952,0.2455552,1.1496448,,,0.5632,,,,,,,1,FALSE,,,,total length,1,,Lavenberg 1992,,reported measurements,,
Gymnothorax,australicola,Actinopterygii,Basal Teleostei,Anguilliformes,Muraenidae,0,anguilliform,benthic,16.1,,,1.932,0.278208,1.653792,,,0.966,0.4025,,,,,4.84301565464104,1,FALSE,,,,total length,1,,Lavenberg 1992,Kulbicki et al. 2005,reported measurements,,Using length-weight equation for Gymnothorax spp.
Gymnothorax,australicola,Actinopterygii,Basal Teleostei,Anguilliformes,Muraenidae,0,anguilliform,benthic,18.4,,,2.2264,0.3517712,1.8746288,,,1.104,,,,,,,1,FALSE,,,,total length,1,,Lavenberg 1992,,reported measurements,,
Gymnothorax,australicola,Actinopterygii,Basal Teleostei,Anguilliformes,Muraenidae,0,anguilliform,benthic,20.3,,,2.5172,0.4304412,2.0867588,,,1.2383,0.5278,,,,,10.4142840179477,1,FALSE,,,,total length,1,,Lavenberg 1992,Kulbicki et al. 2005,reported measurements,,Using length-weight equation for Gymnothorax spp.
Gymnothorax,australicola,Actinopterygii,Basal Teleostei,Anguilliformes,Muraenidae,0,anguilliform,benthic,20.8,,,2.4752,0.4306848,2.0445152,,,1.3104,0.6032,,,,,11.2858220889558,1,FALSE,,,,total length,1,,Lavenberg 1992,Kulbicki et al. 2005,reported measurements,,Using length-weight equation for Gymnothorax spp.
Gymnothorax,australicola,Actinopterygii,Basal Teleostei,Anguilliformes,Muraenidae,0,anguilliform,benthic,22,,,3.08,0.5544,2.5256,,,0.968,0.77,,,,,13.582887982277,1,FALSE,,,,total length,1,,Lavenberg 1992,Kulbicki et al. 2005,reported measurements,,Using length-weight equation for Gymnothorax spp.
Gymnothorax,australicola,Actinopterygii,Basal Teleostei,Anguilliformes,Muraenidae,0,anguilliform,benthic,24.5,,,2.94,0.5292,2.4108,,,1.47,0.686,,,,,19.3814194677007,1,FALSE,,,,total length,1,,Lavenberg 1992,Kulbicki et al. 2005,reported measurements,,Using length-weight equation for Gymnothorax spp.
Gymnothorax,australicola,Actinopterygii,Basal Teleostei,Anguilliformes,Muraenidae,0,anguilliform,benthic,24.9,,,2.8884,0.4823628,2.4060372,,,1.3695,,,,,,,1,FALSE,,,,total length,1,,Lavenberg 1992,,reported measurements,,
Gymnothorax,australicola,Actinopterygii,Basal Teleostei,Anguilliformes,Muraenidae,0,anguilliform,benthic,25,,,2.6,0.4914,2.1086,,,1.325,,,,,,,1,FALSE,,,,total length,1,,Lavenberg 1992,,reported measurements,,
Gymnothorax,australicola,Actinopterygii,Basal Teleostei,Anguilliformes,Muraenidae,0,anguilliform,benthic,26.1,,,2.9232,0.4998672,2.4233328,,,1.4094,0.6525,,,,,23.8854594764268,1,FALSE,,,,total length,1,,Lavenberg 1992,Kulbicki et al. 2005,reported measurements,,Using length-weight equation for Gymnothorax spp.
Gymnothorax,australicola,Actinopterygii,Basal Teleostei,Anguilliformes,Muraenidae,0,anguilliform,benthic,26.7,,,3.4443,0.5820867,2.8622133,,,1.6287,0.9879,,,,,25.7475968616796,1,FALSE,,,,total length,1,,Lavenberg 1992,Kulbicki et al. 2005,reported measurements,,Using length-weight equation for Gymnothorax spp.
Gymnothorax,australicola,Actinopterygii,Basal Teleostei,Anguilliformes,Muraenidae,0,anguilliform,benthic,28,,,3.22,0.59892,2.62108,,,1.512,0.896,,,,,30.1254110811981,1,FALSE,,,,total length,1,,Lavenberg 1992,Kulbicki et al. 2005,reported measurements,,Using length-weight equation for Gymnothorax spp.
Gymnothorax,australicola,Actinopterygii,Basal Teleostei,Anguilliformes,Muraenidae,0,anguilliform,benthic,28.1,,,3.372,0.529404,2.842596,,,1.4893,0.7868,,,,,30.4822470772505,1,FALSE,,,,total length,1,,Lavenberg 1992,Kulbicki et al. 2005,reported measurements,,Using length-weight equation for Gymnothorax spp.
Gymnothorax,australicola,Actinopterygii,Basal Teleostei,Anguilliformes,Muraenidae,0,anguilliform,benthic,28.5,,,3.306,0.57855,2.72745,,,1.6245,0.8265,,,,,31.9390928510564,1,FALSE,,,,total length,1,,Lavenberg 1992,Kulbicki et al. 2005,reported measurements,,Using length-weight equation for Gymnothorax spp.
Gymnothorax,australicola,Actinopterygii,Basal Teleostei,Anguilliformes,Muraenidae,0,anguilliform,benthic,30,,,3.33,0.57942,2.75058,,,1.65,0.78,,,,,37.8356769476638,1,FALSE,,,,total length,1,,Lavenberg 1992,Kulbicki et al. 2005,reported measurements,,Using length-weight equation for Gymnothorax spp.
Gymnothorax,australicola,Actinopterygii,Basal Teleostei,Anguilliformes,Muraenidae,0,anguilliform,benthic,30.1,,,3.4615,0.6196085,2.8418915,,,1.7157,,,,,,,1,FALSE,,,,total length,1,,Lavenberg 1992,,reported measurements,,
Gymnothorax,australicola,Actinopterygii,Basal Teleostei,Anguilliformes,Muraenidae,0,anguilliform,benthic,31.5,,,3.654,0.63945,3.01455,,,1.764,,,,,,,1,FALSE,,,,total length,1,,Lavenberg 1992,,reported measurements,,
Gymnothorax,australicola,Actinopterygii,Basal Teleostei,Anguilliformes,Muraenidae,0,anguilliform,benthic,32,,,3.616,0.531552,3.084448,,,2.016,0.768,,,,,46.8252799710362,1,FALSE,,,,total length,1,,Lavenberg 1992,Kulbicki et al. 2005,reported measurements,,Using length-weight equation for Gymnothorax spp.
Gymnothorax,australicola,Actinopterygii,Basal Teleostei,Anguilliformes,Muraenidae,0,anguilliform,benthic,34.6,,,4.2558,0.8852064,3.3705936,,,2.1452,1.1764,,,,,60.6091730640787,1,FALSE,,,,total length,1,,Lavenberg 1992,Kulbicki et al. 2005,reported measurements,,Using length-weight equation for Gymnothorax spp.
Gymnothorax,minor,Actinopterygii,Basal Teleostei,Anguilliformes,Muraenidae,0,anguilliform,benthic,48.582,,,7.516,0.722,6.794,2.548,,3.083,,,,,,,1,FALSE,,,,total length,1,,Li et al. 2018,,measured from figure/photo,,
Gymnothorax,moringa,Actinopterygii,Basal Teleostei,Anguilliformes,Muraenidae,0,anguilliform,benthic,89,,,14.407,2.354,12.053,,2.472,,,24,,,,,1,FALSE,FSBC 7168,,,total length,1,,Present Study,,measured from specimen,,
Gymnothorax,reticularis,Actinopterygii,Basal Teleostei,Anguilliformes,Muraenidae,0,anguilliform,benthic,46,,,6.04,0.87,5.17,2.375,,2.95,,,,,,,1,FALSE,TAU P. 14971,,,total length,1,,Stern and Goren 2013,,reported measurements,,
Gymnothorax,ypsilon,Actinopterygii,Basal Teleostei,Anguilliformes,Muraenidae,0,anguilliform,benthic,72.4,,,9.3396,2.0453724,7.2942276,,,4.4888,,,,,,,1,FALSE,URM-P 1783,,male,total length,1,,Hatooka and Randall 1992,,reported measurements,,
Gymnothorax,ypsilon,Actinopterygii,Basal Teleostei,Anguilliformes,Muraenidae,0,anguilliform,benthic,48.6,,,6.0264,1.2775968,4.7488032,,,,,,,,,,1,FALSE,FAKU 51430,,female,total length,1,,Hatooka and Randall 1992,,reported measurements,,
Gymnothorax,ypsilon,Actinopterygii,Basal Teleostei,Anguilliformes,Muraenidae,0,anguilliform,benthic,62.4,,,7.8,1.5756,6.2244,,,3.3696,,,,,,,1,FALSE,FAKU 51064,,female,total length,1,,Hatooka and Randall 1992,,reported measurements,,
Gymnothorax,ypsilon,Actinopterygii,Basal Teleostei,Anguilliformes,Muraenidae,0,anguilliform,benthic,64.4,,,7.7924,1.6675736,6.1248264,,,2.898,,,,,,,1,FALSE,FAKU 100530,,female,total length,1,,Hatooka and Randall 1992,,reported measurements,,
Gymnothorax,ypsilon,Actinopterygii,Basal Teleostei,Anguilliformes,Muraenidae,0,anguilliform,benthic,57.1,,,6.9091,1.4716383,5.4374617,,,3.0834,,,,,,,1,FALSE,SMBL-F 73341,,male,total length,1,,Hatooka and Randall 1992,,reported measurements,,
Gymnothorax,ypsilon,Actinopterygii,Basal Teleostei,Anguilliformes,Muraenidae,0,anguilliform,benthic,67.5,,,9.2475,1.9512225,7.2962775,,,4.7925,,,,,,,1,FALSE,ZUMT 55591,,male,total length,1,,Hatooka and Randall 1992,,reported measurements,,
Gymnothorax,ypsilon,Actinopterygii,Basal Teleostei,Anguilliformes,Muraenidae,0,anguilliform,benthic,62.4,,,8.2368,1.6144128,6.6223872,,,4.5552,,,,,,,1,FALSE,ZUMT 55594,,male,total length,1,,Hatooka and Randall 1992,,reported measurements,,
Gymnothorax,ypsilon,Actinopterygii,Basal Teleostei,Anguilliformes,Muraenidae,0,anguilliform,benthic,77.2,,,10.036,1.967056,8.068944,,,5.4812,,,,,,,1,FALSE,BPBM 9643-1,,male,total length,1,,Hatooka and Randall 1992,,reported measurements,,
Gymnothorax,ypsilon,Actinopterygii,Basal Teleostei,Anguilliformes,Muraenidae,0,anguilliform,benthic,77.6,,,9.3896,2.0563224,7.3332776,,,5.6648,,,,,,,1,FALSE,BPBM 9643-3,,female,total length,1,,Hatooka and Randall 1992,,reported measurements,,
Gymnothorax,ypsilon,Actinopterygii,Basal Teleostei,Anguilliformes,Muraenidae,0,anguilliform,benthic,89,,,10.769,2.326104,8.442896,,,5.874,,,,,,,1,FALSE,BPBM 9643-4,,male,total length,1,,Hatooka and Randall 1992,,reported measurements,,
Muraenesox,cinereus,Actinopterygii,Basal Teleostei,Anguilliformes,Muraenesocidae,0,anguilliform,benthic,104.5,,,19.1,5,14.1,9.5,,9.5,,,19.1,,,2000,1,FALSE,,,,total length,1,,Ali et al. 2021,Ali et al. 2021,mixed,FALSE,
Muraenesox,cinereus,Actinopterygii,Basal Teleostei,Anguilliformes,Muraenesocidae,0,anguilliform,benthic,130,,,23.6,6.3,17.3,11,,11,,,23.6,,,3500,1,FALSE,,,,total length,1,,Ali et al. 2021,Ali et al. 2021,mixed,FALSE,
Nettastoma,melanurum,Actinopterygii,Basal Teleostei,Anguilliformes,Nettastomidae,0,anguilliform,benthic,57,,57,8.5,3.3,5.2,,,3,,,,,,129.1,1,FALSE,,,,total length,1,,Rafrafi-Nouira et al. 2018,Rafrafi-Nouira et al. 2018,reported measurements,FALSE,
Nettastoma,melanurum,Actinopterygii,Basal Teleostei,Anguilliformes,Nettastomidae,0,anguilliform,benthic,58.5,,58.5,7.8,3.1,4.7,,,2.6,,,,,,91.3,1,FALSE,,,,total length,1,,Rafrafi-Nouira et al. 2018,Rafrafi-Nouira et al. 2018,reported measurements,FALSE,
Nettastoma,melanurum,Actinopterygii,Basal Teleostei,Anguilliformes,Nettastomidae,0,anguilliform,benthic,62.3,,62.3,8.1,3.2,4.9,,,2.6,,,,,,116.6,1,FALSE,,,,total length,1,,Rafrafi-Nouira et al. 2018,Rafrafi-Nouira et al. 2018,reported measurements,FALSE,
Rhyncoconger,flavus,Actinopterygii,Basal Teleostei,Anguilliformes,Congridae,0,anguilliform,benthic,170,,,29.5,7,22.5,10.4,7.05,13.54,10.58,37,22.2,,,,1,FALSE,FSBC 32081,,,total length,1,,Present Study,,measured from specimen,,
Strophiodon,sathete,Actinopterygii,Basal Teleostei,Anguilliformes,Muraenidae,0,anguilliform,benthic,110.4,,45.57864,9.82008,0.905411376,8.914668624,,,3.22368,,,,,,,1,FALSE,,,,total length,2,,Loh et al. 2015,,reported measurements,,
Elops,machnata,Actinopterygii,Basal Teleostei,Elopiformes,Elopidae,0,fusiform,neritic,32,27.12,25.15,5.44,1.05,4.39,3.49,,4.71,,,5.48,13.03,,,1,FALSE,,,,total length,1,,Osmany pers. comm. (FishBase),,measured from figure/photo,,Uploaded to FishBase at https://fishbase.de/photos/UploadedBy.php?autoctr=17998&win=uploaded
Elops,machnata,Actinopterygii,Basal Teleostei,Elopiformes,Elopidae,0,fusiform,neritic,42,36.39,33.12,7.78,1.35,6.43,4.69,,6.31,,,7.49,17.45,,,1,FALSE,,,,total length,1,,Osmany pers. comm. (FishBase),,measured from figure/photo,,Uploaded to FishBase at https://fishbase.net.br/photos/UploadedBy.php?autoctr=18462&win=uploaded
Elops,smithi,Actinopterygii,Basal Teleostei,Elopiformes,Elopidae,0,fusiform,neritic,63,53.5,50,12.9,2.677,10.223,6.534,,9.151,,,12.22,29.02,,,1,FALSE,UNPSJB ICT-2019/03,,,total length,1,,Bovcon et al. 2022,,mixed,,Using length-weight equation for E. saurus
Elops,smithi,Actinopterygii,Basal Teleostei,Elopiformes,Elopidae,0,fusiform,neritic,65,57.2,54.5,13.1,2.116,10.984,9.996,,13.46,,,11.27,34.8,,,1,FALSE,CNPICT-2013/45,,,total length,1,,Bovcon et al. 2022,,mixed,,Using length-weight equation for E. saurus
Elops,smithi,Actinopterygii,Basal Teleostei,Elopiformes,Elopidae,0,fusiform,neritic,38.8,37.01,30.3,8.04,1.62,6.42,5.24,,7.26,,,7.37,18.15,,,1,FALSE,UF 45683,,,total length,1,,McBride et al. 2010,,mixed,,Using length-weight equation for E. saurus
